listing_id,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
27886,97647,Centrum-West,Private room,132.0,3,302,1.85,53
28871,124245,Centrum-West,Private room,78.0,2,710,3.93,130
29051,124245,Centrum-Oost,Private room,70.0,2,822,4.74,121
44391,194779,Centrum-Oost,Entire home/apt,,3,42,0.23,0
47061,211696,De Baarsjes - Oud-West,Entire home/apt,120.0,2,203,1.13,66
48373,220434,Buitenveldert - Zuidas,Entire home/apt,,3,5,0.21,0
49552,225987,Centrum-West,Entire home/apt,284.0,3,599,3.36,216
50263,230246,Centrum-Oost,Entire home/apt,457.0,3,173,0.97,338
50515,231864,Bos en Lommer,Entire home/apt,198.0,7,18,0.13,191
50523,231946,Centrum-West,Entire home/apt,139.0,2,543,3.09,213
53921,252245,IJburg - Zeeburgereiland,Entire home/apt,,1,12,0.15,0
55709,263233,Centrum-Oost,Entire home/apt,,11,69,0.39,0
55868,264178,Zuid,Entire home/apt,,3,96,0.55,0
62015,301340,Oud-Oost,Entire home/apt,200.0,30,38,0.22,83
80635,436145,Centrum-West,Private room,,3,241,1.39,0
91535,494281,De Pijp - Rivierenbuurt,Private room,,1,297,1.76,77
97221,195859,Slotervaart,Private room,59.0,2,405,2.39,298
137026,670266,De Pijp - Rivierenbuurt,Entire home/apt,407.0,2,111,0.68,62
155548,748161,Oud-Oost,Entire home/apt,,3,21,0.13,0
158633,761321,Noord-Oost,Entire home/apt,279.0,3,17,0.1,128
168769,436145,Centrum-West,Private room,,3,278,1.66,0
171054,815989,De Baarsjes - Oud-West,Entire home/apt,,3,103,0.61,0
179528,856540,De Pijp - Rivierenbuurt,Entire home/apt,265.0,7,36,0.21,153
188347,907405,De Baarsjes - Oud-West,Private room,63.0,3,469,2.79,82
189754,915591,Centrum-West,Entire home/apt,248.0,2,414,2.47,249
190943,922787,Zuid,Entire home/apt,203.0,4,14,0.09,9
193038,935742,Centrum-Oost,Private room,158.0,3,731,4.36,108
212050,887591,De Baarsjes - Oud-West,Entire home/apt,,4,23,0.14,0
213371,1100324,De Pijp - Rivierenbuurt,Entire home/apt,,4,23,0.14,0
214531,1107389,Centrum-West,Private room,,3,169,1.02,0
217752,305025,Centrum-West,Entire home/apt,237.0,2,20,0.12,89
219276,1135329,Centrum-West,Private room,267.0,2,16,0.1,124
245927,1005087,Centrum-West,Entire home/apt,687.0,2,265,1.66,247
247805,1298735,De Baarsjes - Oud-West,Private room,116.0,2,548,3.31,22
252080,1322517,Centrum-Oost,Entire home/apt,,4,27,0.16,19
254104,1334704,Centrum-Oost,Private room,180.0,2,81,0.66,294
254800,1337537,Centrum-West,Entire home/apt,,2,63,0.43,0
255809,1344947,De Pijp - Rivierenbuurt,Private room,179.0,2,256,1.6,285
256670,1350388,De Baarsjes - Oud-West,Entire home/apt,450.0,5,9,0.06,6
262394,1376607,Zuid,Private room,,3,113,0.7,0
274706,1436134,Centrum-West,Entire home/apt,,4,44,0.28,0
283170,1451657,Zuid,Entire home/apt,1036.0,2,129,0.8,270
286500,1491565,Centrum-West,Private room,188.0,3,408,2.51,207
290701,1491565,Centrum-West,Private room,,3,487,3.0,233
291752,1511330,Oud-Oost,Private room,132.0,3,281,1.71,319
304082,276068,Centrum-West,Entire home/apt,169.0,2,363,2.25,247
306852,1141485,Centrum-Oost,Entire home/apt,200.0,4,32,0.21,0
307497,1582128,Westerpark,Entire home/apt,854.0,2,103,0.66,285
307621,1141485,Centrum-Oost,Entire home/apt,133.0,3,6,0.04,0
308028,1141485,Centrum-Oost,Private room,,3,36,0.26,0
311124,1600010,Centrum-West,Entire home/apt,325.0,5,98,0.61,340
327285,1672823,De Pijp - Rivierenbuurt,Private room,248.0,3,762,4.72,59
331946,1687595,De Baarsjes - Oud-West,Entire home/apt,,2,35,0.25,0
343094,1740785,Oud-Oost,Private room,136.0,5,579,3.62,278
357980,1811745,De Baarsjes - Oud-West,Entire home/apt,245.0,3,138,0.86,15
359298,1817922,Centrum-Oost,Entire home/apt,284.0,2,112,0.7,178
366438,1849988,Centrum-Oost,Private room,200.0,3,557,3.47,146
367107,1853421,Centrum-Oost,Entire home/apt,299.0,5,23,0.19,346
379885,1907015,De Pijp - Rivierenbuurt,Private room,190.0,3,94,0.59,130
383182,1920154,Centrum-Oost,Entire home/apt,580.0,3,141,0.93,34
414865,2063261,Zuid,Entire home/apt,150.0,4,13,0.11,43
415619,1336633,Oostelijk Havengebied - Indische Buurt,Entire home/apt,123.0,2,91,0.57,161
432233,2144360,Centrum-Oost,Entire home/apt,241.0,2,28,0.18,60
440992,2191136,Zuid,Entire home/apt,170.0,3,138,0.87,1
441424,2193861,Oostelijk Havengebied - Indische Buurt,Entire home/apt,157.0,4,43,0.27,17
445660,2202945,De Baarsjes - Oud-West,Private room,60.0,3,583,3.66,217
450767,2238440,Centrum-Oost,Entire home/apt,355.0,3,323,2.09,235
462341,2297302,Centrum-West,Entire home/apt,,5,50,0.41,9
483779,2395278,Slotervaart,Private room,,2,34,0.32,0
496953,2453971,De Baarsjes - Oud-West,Private room,250.0,1,28,0.18,65
503629,2483843,Zuid,Entire home/apt,,5,11,0.08,0
505012,1645998,Centrum-Oost,Entire home/apt,630.0,3,61,0.4,2
507598,2501656,Centrum-West,Entire home/apt,500.0,2,62,0.39,84
515088,2536879,Noord-Oost,Entire home/apt,215.0,2,1,0.01,296
515749,2540480,Centrum-Oost,Entire home/apt,210.0,3,318,2.02,242
515921,2541099,Zuid,Entire home/apt,175.0,3,102,0.64,54
517996,2550339,Centrum-West,Entire home/apt,350.0,3,31,0.2,167
522471,2569931,Bos en Lommer,Entire home/apt,225.0,9,29,0.2,26
528022,2594559,Westerpark,Private room,125.0,2,346,3.27,262
528594,2597146,Slotervaart,Private room,101.0,2,73,0.47,4
537321,2639261,De Baarsjes - Oud-West,Entire home/apt,,29,33,0.29,0
538723,356740,Watergraafsmeer,Entire home/apt,,5,57,0.36,0
549310,2699033,De Baarsjes - Oud-West,Entire home/apt,315.0,1,62,0.51,18
553514,618589,Westerpark,Entire home/apt,69.0,2,162,1.07,247
556829,2737834,Buitenveldert - Zuidas,Entire home/apt,125.0,3,28,0.18,135
568446,2797260,Centrum-Oost,Entire home/apt,,3,108,0.69,0
570753,2439449,Zuid,Private room,86.0,4,396,2.52,133
575603,2830952,Centrum-Oost,Entire home/apt,,5,22,0.17,0
575615,2831228,Centrum-Oost,Entire home/apt,,3,40,0.26,0
579851,2851886,Westerpark,Private room,138.0,2,638,4.13,1
582028,2865851,Slotervaart,Entire home/apt,143.0,3,12,0.08,30
582382,2868026,Oud-Noord,Entire home/apt,,5,20,0.13,8
584258,2878977,Zuid,Entire home/apt,,3,22,0.18,0
588020,1759884,Centrum-Oost,Entire home/apt,340.0,3,377,2.99,225
590236,2912339,De Baarsjes - Oud-West,Entire home/apt,180.0,3,58,0.38,302
590386,2913467,Watergraafsmeer,Entire home/apt,,7,8,0.05,1
590681,2914846,Zuid,Entire home/apt,283.0,2,29,0.18,36
591951,2580855,Bijlmer-Oost,Entire home/apt,318.0,1,72,0.46,363
606871,3007402,Westerpark,Private room,156.0,1,606,4.12,319
608432,3015785,Centrum-West,Private room,124.0,1,982,6.28,71
613088,3040748,Noord-Oost,Private room,80.0,2,415,2.66,162
620056,2782084,Westerpark,Entire home/apt,249.0,3,34,0.22,80
623123,2695123,De Baarsjes - Oud-West,Entire home/apt,,3,35,0.23,3
627188,3015785,Centrum-West,Private room,152.0,1,673,4.3,75
627213,3113556,Zuid,Entire home/apt,,7,16,0.1,13
638555,2531171,Oostelijk Havengebied - Indische Buurt,Entire home/apt,,2,21,0.14,0
646957,3243217,De Pijp - Rivierenbuurt,Entire home/apt,166.0,4,6,0.44,13
654931,3278419,Centrum-West,Hotel room,148.0,1,1017,6.55,210
655216,3278419,Centrum-West,Hotel room,150.0,1,923,5.97,195
660856,3336575,Watergraafsmeer,Entire home/apt,395.0,4,42,0.28,100
664697,1406783,Oud-Noord,Entire home/apt,87.0,30,62,0.4,228
667305,3375589,Noord-West,Entire home/apt,166.0,5,46,0.32,348
683431,2309485,De Pijp - Rivierenbuurt,Private room,100.0,1,747,5.64,237
685990,3498674,Geuzenveld - Slotermeer,Private room,69.0,4,432,2.78,316
689623,2272095,Centrum-Oost,Entire home/apt,160.0,10,97,0.66,51
693675,3548522,De Baarsjes - Oud-West,Entire home/apt,86.0,1,11,0.08,93
694850,3556421,Centrum-West,Private room,,2,766,4.95,0
696113,3564543,IJburg - Zeeburgereiland,Entire home/apt,233.0,6,27,0.18,298
697153,680246,Bos en Lommer,Entire home/apt,,2,0,,0
698672,2302855,De Baarsjes - Oud-West,Entire home/apt,,3,60,0.39,0
701812,3601944,Zuid,Entire home/apt,,7,14,0.09,5
702894,3607736,Bos en Lommer,Entire home/apt,,5,85,0.55,0
708528,3644216,De Pijp - Rivierenbuurt,Private room,187.0,3,265,2.31,18
716107,3689867,De Baarsjes - Oud-West,Entire home/apt,,3,174,1.15,0
728144,3775786,Centrum-Oost,Entire home/apt,476.0,3,148,0.96,3
728145,1902079,De Pijp - Rivierenbuurt,Entire home/apt,225.0,4,69,0.45,185
729260,3788198,Centrum-West,Entire home/apt,143.0,5,105,0.68,238
729317,3788673,Centrum-Oost,Private room,139.0,3,205,2.05,127
730916,3267693,Westerpark,Private room,,3,453,2.96,0
733654,3823268,Centrum-Oost,Entire home/apt,,5,14,0.09,0
741043,3877342,Westerpark,Entire home/apt,687.0,2,85,0.56,261
742160,1582128,Centrum-Oost,Entire home/apt,854.0,2,151,1.0,281
744659,3518386,Oud-Oost,Private room,143.0,2,352,2.29,254
746067,3713242,Centrum-West,Entire home/apt,,5,91,0.61,0
747847,3548522,De Baarsjes - Oud-West,Private room,60.0,2,40,0.29,2
